Title,Author,Discount,Price before,Price now,Editorial,Year
 EL INVERSOR INTELIGENTE: UN LIBRO DE ASESORAMIENTO PRÁCTICO = THE INTELLIGENT INVESTOR  ,Benjamin Graham,20,139900,111920,HARPERCOLLINS ESPANOL,2019
 LA REVOLUCIÓN DE LA GLUCOSA  ,Jessie Inchauspé,20,59000,47200,DIANA,2022
 LA CASA DE LOS ESPÍRITUS  ,Isabel Allende,20,54000,43200,DEBOLSILLO,2012
 PRIMERA PERSONA DEL SINGULAR  ,Haruki Murakami,20,52000,41600,TUSQUETS,2021
 LA BAILARINA DE AUSCHWITZ  ,Edith Eger,20,69000,55200,PLANETA,2018
 LA PERRA  ,Pilar Quintana,20,50000,40000,LITERATURA RANDOM HOUSE,2017
 UN DUENDE EN MI CABEZA  ,Diana Álvarez,20,52000,41600,AGUILAR,2022
 READY PLAYER TWO  ,Ernest Cline,20,63000,50400,NOVA,2021
 EL LIBRO DE LOS ATRIBUTOS (SEFER HAMIDOT)  ,Rabí Najmán De Breslov,50,139776,69888,BRESLOV RESEARCH INSTITUTE,2014
 EL EXTRANJERO  ,Albert Camus,20,47000,37600,PENGUIN RANDOM HOUSE,2021
 RAYUELA  ,Julio Cortázar,20,59000,47200,DEBOLSILLO,2017
 DISEÑAR EL CAMBIO ,Tim Brown,20,80000,64000,EMPRESA ACTIVA,2020
 LA SOCIEDAD DEL CANSANCIO  ,Byung-Chul Han,10,55000,49500,HERDER,2022
 BIOGRAFÍA DEL SILENCIO  ,Pablo D' Ors,20,59900,47920,GRUPO PENTA,2022
 ROMA SOY YO  ,Santiago Posteguillo,20,89000,71200,EDICIONES B,2022
" SILBIDO DEL ARQUERO, EL ","Vallejo, Irene",20,59000,47200,PENGUIN RANDOM HOUSE G.E. (MEXICO),0
" ANTE TODO, NO HAGAS DAÑO  ",Henry Marsh,20,52000,41600,SALAMANDRA BOLSILLO,2021
 EL SOL Y SUS FLORES  ,Rupi Kaur,20,49000,39200,SEIX BARRAL,2018
 EMPRESAS 3.0 ,Hanoi Morillo,20,49000,39200,PAIDÓS EMPRESA,2023
 QUE HACER CON ESTOS PEDAZOS  ,Piedad Bonnett,20,54000,43200,ALFAGUARA,2022
 SI SABEN CÓMO SOY… ¿PARA QUÉ ME INVITAN?  ,Felipe Zuleta Lleras,30,49900,34930,CÍRCULO DE LECTORES,2022
 LA VIDA SECRETA DE LOS ÁRBOLES  ,Peter Wohlleben,25,83800,62850,OBELISCO,2016
 RAMÓN PREOCUPÓN  ,Anthony Browne,30,47000,32900,FONDO DE CULTURA ECONÓMICA,2006
 CIEN AÑOS DE SOLEDAD  ,Gabriel García Márquez,20,47000,37600,DEBOLSILLO,2014
 A TRAVES DE LA LLUVIA  ,Ariana Godoy,20,59000,47200,MONTENA,2022
 LOS VERSOS SATANICOS  ,Salman Rushdie,20,59000,47200,PENGUIN RANDOM HOUSE,2013
 SAGA COMPLETA CAZADORES DE SOMBRAS  ,Cassandra Clare,45,290000,159500,PLANETA - SELLO BOOKET,2021
 TODO LO QUE NUNCA FUIMOS ,Alice Kellen,20,62000,49600,PLANETA,2019
 AMA Y NO SUFRAS  ,Walter Riso,20,45000,36000,PLANETA,2019
 LA DIVINA COMEDIA  ,Dante Alighieri,30,40000,28000,EDITORIAL BLANCO Y NEGRO SAS,0
 EL PRÍNCIPE DE LA NIEBLA ,Carlos Ruiz Zafón,20,29000,23200,BOOKET,2019
 1984 ,George Orwell,30,21000,14700,SKLA,0
 CUENTOS CLÁSICOS INFANTILES  ,Varios Autores,30,11200,7840,KINGKOLOR,0
 EL LÍDER QUE NO TENÍA CARGO  ,Robin Sharma,20,57000,45600,GRIJALBO,2010
 INCENDIARIO: 40 DÍAS PARA CONSUMIR TU APATÍA Y VIVIR INTENSAMENTE ,Itiel Arroyo,20,89900,71920,VIDA,2022
 365 DÍAS DE ROCK  ,Juan Kiss,30,54900,38430,CIRCULO DE LECTORES,2022
 INDOMABLE  ,Glennon Doyle,20,75000,60000,URANO,2021
 EL CABALLERO DE LA ARMADURA OXIDADA  ,Robert Fisher,25,41900,31425,OBELISCO,2005
 EL LIBRO DEL LLORIS  ,@Elpsicoanalistarebelde (Fernando Ángel),0,100000,100000,MAPA DE VIENTO,2022
 EL ALQUIMISTA ,Paulo Coelho,20,49000,39200,PLANETA,0
 LAS MUJERES QUE AMAN DEMASIADO  ,Robin Norwood,20,49000,39200,B DE BOLSILLO,2018
 AKELARRE  ,Mario Mendoza,20,55000,44000,GRUPO PLANETA,2021
 EL CHICO QUE DIBUJABA CONSTELACIONES  ,Alice Kellen,20,55000,44000,GRUPO PLANETA,2022
 APOCALIPSIS  ,Mario Mendoza,20,55000,44000,GRUPO PLANETA,2021
